Order of operation,Sf category,Tag category,Tag,Override view value,Conditional tag category,Conditional tag,Override value
91450,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.All_hvy_atm_coord_std_dev_err,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91460,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.All_hvy_atm_residues_included,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91470,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Stats_not_available,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91480,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Ramachan_most_favored_pct,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91490,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Ramachan_allowed_pct,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91500,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Ramachan_gen_allowed_pct,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91510,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Ramachan_disallowed_pct,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91520,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Total_E_value_,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91530,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Total_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91540,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Bond_E_value,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91550,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Bond_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91560,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Angle_E_value,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91570,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Angle_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91580,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Improper_E_value,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91590,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Improper_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91600,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Van_der_Waals_E_value,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91610,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Van_der_Waals_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91620,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Torsional_angle_E_value,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91630,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Torsional_angle_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91640,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.NCS_E_value,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91650,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.NCS_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91660,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Lennard_Jones_E_value,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91670,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Lennard_Jones_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91680,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Covalent_bond_rmsd,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91690,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Covalent_bond_rmsd_err,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91700,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Bond_angle_rmsd,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91710,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Bond_angle_rmsd_err,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91740,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Peptide_planarity_rmsd,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91750,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Peptide_planarity_rmsd_err,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91760,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Stats_not_available,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91770,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Ramachan_most_favored_pct,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91780,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Ramachan_allowed_pct,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91790,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Ramachan_gen_allowed_pct,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91800,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Ramachan_disallowed_pct,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91810,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Total_E_value_,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91820,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Total_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91830,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Bond_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91840,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Bond_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91850,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Angle_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91860,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Angle_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91870,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Improper_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91880,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Improper_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91890,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Van_der_Waals_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91900,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Van_der_Waals_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91910,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Torsional_angle_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91920,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Torsional_angle_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91930,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.NCS_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91940,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.NCS_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91950,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Lennard_Jones_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91960,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Lennard_Jones_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92030,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Peptide_planarity_rmsd,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92040,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Peptide_planarity_rmsd_err,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92050,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Stats_not_available,N,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92060,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Ramachan_most_favored_pct,N,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92070,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Ramachan_allowed_pct,N,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92080,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Ramachan_gen_allowed_pct,N,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92090,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Ramachan_disallowed_pct,N,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92100,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Total_E_value,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92110,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Total_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92120,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Bond_E_value,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92130,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Bond_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92140,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Angle_E_value,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92150,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Angle_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92160,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Impropers_E_value,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92170,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Impropers_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92180,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Van_der_Waals_E_val,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92190,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Van_der_Waals_E_val_err,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92200,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.NOE_E_value,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92210,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.NOE_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92220,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Torsional_E_value,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92230,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Torsional_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92240,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.NCS_E_value,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92250,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.NCS_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92260,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Lennard_Jones_E_value,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92270,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Lennard_Jones_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92280,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Bond_rmsd,N,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92290,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Bond_rmsd_err,N,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92300,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Angle_rmsd,N,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92310,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Angle_rmsd_err,N,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92340,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Peptide_planarity_rmsd,N,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92350,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Peptide_planarity_rmsd_err,N,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
92360,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Stats_not_available,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92370,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Ramachan_most_favored_pct,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92380,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Ramachan_allowed_pct,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92390,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Ramachan_gen_allowed_pct,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92400,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Ramachan_disallowed_pct,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92410,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Total_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92420,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Total_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92430,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Bond_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92440,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Bond_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92450,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Angle_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92460,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Angle_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92470,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Impropers_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92480,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Impropers_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92490,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Van_der_Waals_E_val,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92500,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Van_der_Waals_E_val_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92510,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.NOE_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92520,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.NOE_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92530,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Torsional_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92540,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Torsional_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92550,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.NCS_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92560,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.NCS_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92570,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Lennard_Jones_E_value,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92580,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Lennard_Jones_E_value_err,H,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92590,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Bond_rmsd,Y,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92600,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Bond_rmsd_err,Y,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92610,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Angle_rmsd,Y,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92620,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Angle_rmsd_err,Y,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92650,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Peptide_planarity_rmsd,Y,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92660,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Peptide_planarity_rmsd_err,Y,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
92670,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Ramachan_most_favored_pct,N,Conformer_stat_list_ens,_Conformer_stat_list_ens.Stats_not_available,yes
92680,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Ramachan_allowed_pct,N,Conformer_stat_list_ens,_Conformer_stat_list_ens.Stats_not_available,yes
92690,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Ramachan_gen_allowed_pct,N,Conformer_stat_list_ens,_Conformer_stat_list_ens.Stats_not_available,yes
92700,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Ramachan_disallowed_pct,N,Conformer_stat_list_ens,_Conformer_stat_list_ens.Stats_not_available,yes
92770,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Peptide_planarity_rmsd,N,Conformer_stat_list_ens,_Conformer_stat_list_ens.Stats_not_available,yes
92780,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Peptide_planarity_rmsd_err,N,Conformer_stat_list_ens,_Conformer_stat_list_ens.Stats_not_available,yes
92790,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Ramachan_most_favored_pct,N,Conformer_stat_list_rep,_Conformer_stat_list_rep.Stats_not_available,yes
92800,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Ramachan_allowed_pct,N,Conformer_stat_list_rep,_Conformer_stat_list_rep.Stats_not_available,yes
92810,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Ramachan_gen_allowed_pct,N,Conformer_stat_list_rep,_Conformer_stat_list_rep.Stats_not_available,yes
92820,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Ramachan_disallowed_pct,N,Conformer_stat_list_rep,_Conformer_stat_list_rep.Stats_not_available,yes
92830,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Bond_rmsd,N,Conformer_stat_list_rep,_Conformer_stat_list_rep.Stats_not_available,yes
92840,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Bond_rmsd_err,N,Conformer_stat_list_rep,_Conformer_stat_list_rep.Stats_not_available,yes
92850,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Angle_rmsd,N,Conformer_stat_list_rep,_Conformer_stat_list_rep.Stats_not_available,yes
92860,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Angle_rmsd_err,N,Conformer_stat_list_rep,_Conformer_stat_list_rep.Stats_not_available,yes
92890,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Peptide_planarity_rmsd,N,Conformer_stat_list_rep,_Conformer_stat_list_rep.Stats_not_available,yes
92900,conformer_statistics,Conformer_stat_list_rep,_Conformer_stat_list_rep.Peptide_planarity_rmsd_err,N,Conformer_stat_list_rep,_Conformer_stat_list_rep.Stats_not_available,yes
92910,constraint_statistics,Constraint_file,_Constraint_file.Constraint_type,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
92920,constraint_statistics,Constraint_file,_Constraint_file.Constraint_subtype,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
92930,constraint_statistics,Constraint_file,_Constraint_file.Constraint_filename,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
92940,constraint_statistics,Constraint_file,_Constraint_file.Constraint_number,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
92950,constraint_statistics,Constraint_file,_Constraint_file.Software_label,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
92970,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_interproton_dist_evaluation,H,Constraint_file,_Constraint_file.Constraint_subtype,NOE
92980,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_pseudoatom_corrections,H,Constraint_file,_Constraint_file.Constraint_subtype,NOE
92990,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_dist_averaging_method,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE
93000,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE
93010,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_intraresidue_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE
93020,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_sequential_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE
93030,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_medium_range_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE
93040,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_long_range_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE
93050,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_other_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE
93060,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_interproton_dist_evaluation,H,Constraint_file,_Constraint_file.Constraint_subtype,NOE buildup
93070,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_pseudoatom_corrections,H,Constraint_file,_Constraint_file.Constraint_subtype,NOE buildup
93080,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_dist_averaging_method,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE buildup
93090,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE buildup
93100,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_intraresidue_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE buildup
93110,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_sequential_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE buildup
93120,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_medium_range_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE buildup
93130,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_long_range_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE buildup
93140,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_other_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE buildup
93150,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.NOE_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,NOE not seen
93160,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.ROE_interproton_dist_evaluation,H,Constraint_file,_Constraint_file.Constraint_subtype,ROE
93170,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.ROE_pseudoatom_corrections,H,Constraint_file,_Constraint_file.Constraint_subtype,ROE
93180,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.ROE_dist_averaging_method,N,Constraint_file,_Constraint_file.Constraint_subtype,ROE
93190,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.ROE_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,ROE
93200,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.ROE_intraresidue_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,ROE
93210,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.ROE_sequential_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,ROE
93220,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.ROE_medium_range_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,ROE
93230,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.ROE_long_range_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,ROE
93240,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.ROE_other_tot_num,N,Constraint_file,_Constraint_file.Constraint_subtype,ROE
93250,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.RDC_tot_num,N,Constraint_file,_Constraint_file.Constraint_type,dipolar coupling
93270,constraint_statistics,Constraint_stat_list,_Constraint_stat_list.RDC_NH_tot_num,N,Constraint_file,_Constraint_file.Constraint_type,dipolar coupling
