Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Interface,bmrbPdbMatchID,bmrbPdbTransFunc,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,small molecule,small molecule,metabolomics,metabolomics,Overide public,internal,small molecule,small molecule,metabolomic,metabolomic,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,pdbx equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type,STAR vs Curated DB,Key group,Reference table,Reference column,Dictionary description,variableTypeMatch,entryIdFlg,outputMapExistsFlg,lclSfIdFlg,Met ADIT category view name,Met Example,Met Prompt,Met Description,SM Struct ADIT-NMR category view name,SM Struct Example,SM Struct Prompt,SM Struct Description,Met default value,SM default value
23540,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Assembly_atom_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Assembly atom ID,INTEGER,,,SpectralDensity,AssemblyAtomID,N,N,,,,Atom,Assembly_atom_ID,,,,Y,20,,,,,,0,?,n/a,Pointer to '_Atom.Assembly_atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Atom.Entry_atom_ID,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,Assembly_atom_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Atom.Assembly_atom_ID',,N,?,?,Spectral density,?,n/a,Pointer to '_Atom.Assembly_atom_ID',Spectral density,?,n/a,Pointer to '_Atom.Assembly_atom_ID',?,?
23550,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Entity_assembly_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entity assembly ID,INTEGER,NOT NULL,,SpectralDensity,EntityAssemblyID,N,N,,,,Entity_assembly,ID,,,,Y,30,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,_Entity_assembly.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Spectral_density,Entity_assembly_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity_assembly.ID',,N,?,?,Spectral density,?,n/a,Pointer to '_Entity_assembly.ID',Spectral density,?,n/a,Pointer to '_Entity_assembly.ID',?,?
23560,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Entity_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entity ID,INTEGER,NOT NULL,,SpectralDensity,EntityID,N,N,,,,Entity,ID,,,,Y,40,,,,,,0,?,n/a,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,_Entity.ID,?,_Entity.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Spectral_density,Entity_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity.ID',,N,?,?,Spectral density,?,n/a,Pointer to '_Entity.ID',Spectral density,?,n/a,Pointer to '_Entity.ID',?,?
23570,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Comp_index_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Comp index ID,INTEGER,NOT NULL,,SpectralDensity,CompIndexID,N,N,,,,Entity_comp_index,ID,,,,Y,50,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Spectral_density,Comp_index_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity_comp_index.ID',,N,?,?,Spectral density,?,n/a,Pointer to '_Entity_comp_index.ID',Spectral density,?,n/a,Pointer to '_Entity_comp_index.ID',?,?
23580,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Seq_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Seq ID,INTEGER,NOT NULL,,SpectralDensity,SeqID,N,N,,,,Entity_poly_seq,Num,,,,Y,60,,,,,,0,?,n/a,Pointer to '_PDBX_poly_seq_scheme.Seq_ID',?,?,Y,Y,N,N,N,N,_PDBX_poly_seq_scheme.Seq_ID,?,_Entity_poly_seq.Num,O,I,O,I,O,I,V,V,V,V,V,V,?,0,Spectral_density,Seq_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity_poly_seq.Num',,N,?,?,Spectral density,?,n/a,Pointer to '_PDBX_poly_seq_scheme.Seq_ID',Spectral density,?,n/a,Pointer to '_PDBX_poly_seq_scheme.Seq_ID',?,?
23590,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Comp_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Comp ID,CHAR(12),NOT NULL,,SpectralDensity,CompID,N,N,,,,Chem_comp,ID,,,,Y,70,,,,,,0,?,n/a,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,?,_Chem_comp.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Spectral_density,Comp_ID,?,?,?,?,N,N,code,,?,?,?,Pointer to '_Chem_comp.ID',,N,?,?,Spectral density,?,n/a,Pointer to '_Chem_comp.ID',Spectral density,?,n/a,Pointer to '_Chem_comp.ID',?,?
23600,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Atom_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Atom ID,CHAR(12),NOT NULL,,SpectralDensity,AtomID,N,N,,,,Chem_comp_atom,Atom_ID,,,,Y,80,,,,,,0,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Chem_comp_atom.Atom_ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Spectral_density,Atom_ID,?,?,?,?,N,N,atcode,,?,?,?,Pointer to '_Chem_comp_atom.Atom_ID',,N,?,?,Spectral density,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',Spectral density,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?
23610,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Atom_type,,X,,,,N,H,H,H,H,H,N,,,,,,Atom type,VARCHAR(15),NOT NULL,,SpectralDensity,AtomType,N,N,,,,,,,,,Y,90,,,,,,0,?,n/a,The value for this tag is a standard IUPAC abbreviation for an element (i.e.$ H$ C$ P$ etc).,?,?,Y,Y,N,N,N,N,?,?,?,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Spectral_density,Atom_type,?,?,?,?,N,N,code,,?,?,?,The value for this tag is a standard IUPAC abbreviation for an element (i.e.$ H$ C$ P$ etc).,,N,?,?,Spectral density,?,n/a,The value for this tag is a standard IUPAC abbreviation for an element (i.e.$ H$ C$ P$ etc).,Spectral density,?,n/a,The value for this tag is a standard IUPAC abbreviation for an element (i.e.$ H$ C$ P$ etc).,?,?
23620,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Atom_isotope_number,,,,,,N,H,H,H,H,H,N,,,,,,Atom isotope number,INTEGER,,,SpectralDensity,AtomIsotopeNumber,N,N,,,,,,,,,Y,100,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,Atom_isotope_number,?,?,?,?,N,N,int,,?,?,?,The mass number for the chemical element defined by the tag '_Atom_type' or any of its related tags.,,N,?,?,?,?,n/a,?,?,?,n/a,?,?,?
23630,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.W_zero_val,,X,,,,N,H,H,H,H,H,N,,,,,,W zero val,FLOAT,,,SpectralDensity,WZeroVal,N,N,,,,,,,,,Y,110,,,,,,0,?,n/a,W zero val,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,W_zero_val,?,?,?,?,N,N,float,,?,?,?,W zero val,,N,?,?,Spectral density,?,n/a,W zero val,Spectral density,?,n/a,W zero val,?,?
23640,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.W_zero_val_err,,X,,,,N,H,H,H,H,H,N,,,,,,W zero val err,FLOAT,,,SpectralDensity,WZeroValErr,N,N,,,,,,,,,Y,120,,,,,,0,?,n/a,W zero val err,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,W_zero_val_err,?,?,?,?,N,N,float,,?,?,?,W zero val err,,N,?,?,Spectral density,?,n/a,W zero val err,Spectral density,?,n/a,W zero val err,?,?
23650,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.W_1H_val,,X,,,,N,H,H,H,H,H,N,,,,,,W 1H val,FLOAT,,,SpectralDensity,W1HVal,N,N,,,,,,,,,Y,130,,,,,,0,?,n/a,W 1H val,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,W_1H_val,?,?,?,?,N,N,float,,?,?,?,W 1H val,,N,?,?,Spectral density,?,n/a,W 1H val,Spectral density,?,n/a,W 1H val,?,?
23660,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.W_1H_val_err,,X,,,,N,H,H,H,H,H,N,,,,,,W 1H val err,FLOAT,,,SpectralDensity,W1HValErr,N,N,,,,,,,,,Y,140,,,,,,0,?,n/a,W 1H val err,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,W_1H_val_err,?,?,?,?,N,N,float,,?,?,?,W 1H val err,,N,?,?,Spectral density,?,n/a,W 1H val err,Spectral density,?,n/a,W 1H val err,?,?
23670,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.W_13C_val,,X,,,,N,H,H,H,H,H,N,,,,,,W 13C val,FLOAT,,,SpectralDensity,W13CVal,N,N,,,,,,,,,Y,150,,,,,,0,?,n/a,W 13C val,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,W_13C_val,?,?,?,?,N,N,float,,?,?,?,W 13C val,,N,?,?,Spectral density,?,n/a,W 13C val,Spectral density,?,n/a,W 13C val,?,?
23680,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.W_13C_val_err,,X,,,,N,H,H,H,H,H,N,,,,,,W 13C val err,FLOAT,,,SpectralDensity,W13CValErr,N,N,,,,,,,,,Y,160,,,,,,0,?,n/a,W 13C val err,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,W_13C_val_err,?,?,?,?,N,N,float,,?,?,?,W 13C val err,,N,?,?,Spectral density,?,n/a,W 13C val err,Spectral density,?,n/a,W 13C val err,?,?
23690,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.W_15N_val,,X,,,,N,H,H,H,H,H,N,,,,,,W 15N val,FLOAT,,,SpectralDensity,W15NVal,N,N,,,,,,,,,Y,170,,,,,,0,?,n/a,W 15N val,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,W_15N_val,?,?,?,?,N,N,float,,?,?,?,W 15N val,,N,?,?,Spectral density,?,n/a,W 15N val,Spectral density,?,n/a,W 15N val,?,?
23700,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.W_15N_val_err,,X,,,,N,H,H,H,H,H,N,,,,,,W 15N val err,FLOAT,,,SpectralDensity,W15NValErr,N,N,,,,,,,,,Y,180,,,,,,0,?,n/a,W 15N val err,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,W_15N_val_err,?,?,?,?,N,N,float,,?,?,?,W 15N val err,,N,?,?,Spectral density,?,n/a,W 15N val err,Spectral density,?,n/a,W 15N val err,?,?
23710,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Resonance_ID,,,,,,N,H,H,H,H,H,N,,,,,,Resonance ID,INTEGER,,,SpectralDensity,ResonanceID,N,N,,,,Resonance,ID,,,,Y,190,,,,,,0,?,n/a,Pointer to '_Resonance.ID',?,?,Y,Y,N,N,N,N,_Resonance.ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,Resonance_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Resonance.ID',,N,?,?,Spectral density,?,n/a,Pointer to '_Resonance.ID',Spectral density,?,n/a,Pointer to '_Resonance.ID',?,?
23720,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Auth_entity_assembly_ID,,,,,,N,H,H,H,H,H,N,,,,,,Auth entity assembly ID,VARCHAR(15),,,SpectralDensity,AuthEntityAssemblyID,N,N,,,,,,,,,Y,200,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,Auth_entity_assembly_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Entity_assembly_ID that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Entity_assembly_ID.,,N,?,?,?,?,n/a,?,?,?,n/a,?,?,?
23730,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Auth_seq_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Auth seq ID,VARCHAR(15),,,SpectralDensity,AuthSeqID,N,N,,,,,,,,,Y,210,,,,,,0,-3,n/a,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,?,?,Y,Y,N,N,N,N,_Atom_site.Auth_seq_ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,Auth_seq_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,,N,?,?,Spectral density,-3,n/a,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,Spectral density,-3,n/a,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,?,?
23740,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Auth_comp_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Auth comp ID,VARCHAR(15),,,SpectralDensity,AuthCompID,N,N,,,,,,,,,Y,220,,,,,,0,DPN,n/a,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?,Y,Y,N,N,N,N,_Atom_site.Auth_comp_ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,Auth_comp_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,,N,?,?,Spectral density,DPN,n/a,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,Spectral density,DPN,n/a,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?
23750,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Auth_atom_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Auth atom ID,VARCHAR(15),,,SpectralDensity,AuthAtomID,N,N,,,,,,,,,Y,230,,,,,,0,HB1,n/a,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Spectral_density,Auth_atom_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,,N,?,?,Spectral density,HB1,n/a,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,Spectral density,HB1,n/a,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?
23760,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Sf_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,SpectralDensity,SfID,N,Y,,,,Spectral_density_list,Sf_ID,,,,Y,240,,,,,,4,?,n/a,Pointer to '_Spectral_density_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Spectral_density_list.Sf_ID,?,_Spectral_density_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Spectral_density,Sf_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Spectral_density_list.Sf_ID',,N,?,?,Spectral density,?,n/a,Pointer to '_Spectral_density_list.Sf_ID',Spectral density,?,n/a,Pointer to '_Spectral_density_list.Sf_ID',?,?
23770,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Entry_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SpectralDensity,EntryID,N,N,,Y,,Entry,ID,,,,Y,250,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Spectral_density,Entry_ID,?,?,?,?,N,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,?,Spectral density,?,n/a,Pointer to '_Entry.ID',Spectral density,?,n/a,Pointer to '_Entry.ID',?,?
23780,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Spectral_density_list_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Spectral density list ID,INTEGER,NOT NULL,,SpectralDensity,SpectralDensityListID,N,N,,Y,,Spectral_density_list,ID,,,,Y,260,,,,,,5,?,n/a,Pointer to '_Spectral_density_list.ID',?,?,Y,Y,N,N,N,N,_Spectral_density_list.ID,?,_Spectral_density_list.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Spectral_density,Spectral_density_list_ID,Y,?,?,?,N,N,int,,?,?,?,Pointer to '_Spectral_density_list.ID',,N,?,Y,Spectral density,?,n/a,Pointer to '_Spectral_density_list.ID',Spectral density,?,n/a,Pointer to '_Spectral_density_list.ID',?,?
23790,other_data_types,N,R,5,NMR_parameters,320,Other data type list,_Other_data_type_list.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(127),NOT NULL,,OtherDataTypeList,SfCategory,N,N,,,,,,,,,N,6630,,,,,,1,?,Sf category,Category definition for the information content of the saveframe,?,?,Y,Y,N,Y,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Other_data_type_list,Sf_category,?,?,?,?,Y,N,code,,?,?,?,Category definition for the information content of the saveframe,,N,?,?,Other data type list,?,Sf category,Category definition for the information content of the saveframe,Other data type list,?,Sf category,Category definition for the information content of the saveframe,?,?
23800,other_data_types,N,R,5,NMR_parameters,320,Other data type list,_Other_data_type_list.Sf_framecode,,X,,,,Y,Y,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,OtherDataTypeList,SfFramecode,N,N,,,,,,,,,N,6640,,,,,,2,?,Label for new data listed,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,?,?,Y,Y,Y,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,1,Other_data_type_list,Sf_framecode,?,?,?,?,Y,N,framecode,,?,?,?,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,,N,?,?,Other data type list,?,Label for new data listed,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,Other data type list,?,Label for new data listed,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,?,?
23810,other_data_types,N,R,5,NMR_parameters,320,Other data type list,_Other_data_type_list.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,OtherDataTypeList,EntryID,N,N,,Y,,Entry,ID,,,,N,6650,,,,,,3,?,Entry ID,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Other_data_type_list,Entry_ID,Y,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,?,Other data type list,?,Entry ID,Pointer to '_Entry.ID',Other data type list,?,Entry ID,Pointer to '_Entry.ID',?,?
23820,other_data_types,N,R,5,NMR_parameters,320,Other data type list,_Other_data_type_list.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,OtherDataTypeList,SfID,N,Y,Y,,,,,,,,N,6660,,,,,,4,?,n/a,An integer value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Other_data_type_list,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,,N,?,?,Other data type list,?,n/a,An integer value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,Other data type list,?,n/a,An integer value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?
23830,other_data_types,N,R,5,NMR_parameters,320,Other data type list,_Other_data_type_list.ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,ID,INTEGER,NOT NULL,,OtherDataTypeList,OtherDataTypeListID,N,N,Y,Y,,,,,,,N,6670,,,,,,5,?,n/a,A unique identifier for the list on new data values.,?,?,Y,Y,N,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Other_data_type_list,ID,Y,?,?,?,Y,N,int,,?,?,?,A unique identifier for the list on new data values.,,N,?,Y,Other data type list,?,n/a,A unique identifier for the list on new data values.,Other data type list,?,n/a,A unique identifier for the list on new data values.,?,?
23840,other_data_types,N,R,5,NMR_parameters,320,Other data type list,_Other_data_type_list.Name,,MC,,,,Y,H,H,H,H,H,N,,,,,,Name,VARCHAR(127),NOT NULL,,OtherDataTypeList,Name,N,N,,,,,,,,,N,6680,,,,,,0,?,Name,Name for the kind of data values that are being reported.,?,?,Y,Y,N,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Other_data_type_list,Name,?,?,?,?,Y,N,line,,?,?,?,Name for the kind of data values that are being reported.,,N,?,?,Other data type list,?,Name,Name for the kind of data values that are being reported.,Other data type list,?,Name,Name for the kind of data values that are being reported.,?,?
23850,other_data_types,N,R,5,NMR_parameters,320,Other data type list,_Other_data_type_list.Definition,,MC,,,,Y,H,H,H,H,H,N,,,,,,Definition,TEXT,NOT NULL,,OtherDataTypeList,Definition,N,N,,,,,,,,,N,6690,,,,,,0,?,Definition,A definition for the new kind of data that are being reported.,?,?,Y,Y,N,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Other_data_type_list,Definition,?,?,?,?,Y,N,text,,?,?,?,A definition for the new kind of data that are being reported.,,N,?,?,Other data type list,?,Definition,A definition for the new kind of data that are being reported.,Other data type list,?,Definition,A definition for the new kind of data that are being reported.,?,?
23860,other_data_types,N,R,5,NMR_parameters,320,Other data type list,_Other_data_type_list.Data_file_name,,,,,,Y,Y,H,H,H,H,N,,Upload data,_Upload_data.Data_file_name,,,Data file name,VARCHAR(127),,,OtherDataTypeList,DataFileName,N,N,,,,,,,,,N,6700,,19,,,,0,?,Deposited data file name,The name of the file submitted with this depostion that contains the quantitative data for this saveframe.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,V,I,O,I,O,?,1,Other_data_type_list,Data_file_name,?,?,?,?,Y,N,line,,?,?,?,The name of the file submitted with this depostion that contains the quantitative data for this saveframe.,,N,?,?,Other data type list,?,Deposited data file name,The name of the file submitted with this depostion that contains the quantitative data for this saveframe.,Other data type list,?,Deposited data file name,The name of the file submitted with this depostion that contains the quantitative data for this saveframe.,?,?
23870,other_data_types,N,R,5,NMR_parameters,320,Other data type list,_Other_data_type_list.Sample_condition_list_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Sample condition list ID,INTEGER,NOT NULL,,OtherDataTypeList,SampleConditionListID,N,N,,,,Sample_condition_list,ID,,,,N,6710,,,,,,7,?,Sample conditions ID,Pointer to '_Sample_condition_list.ID',?,?,Y,Y,N,N,N,N,_Sample_condition_list.ID,?,_Sample_condition_list.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Other_data_type_list,Sample_condition_list_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Sample_condition_list.ID',,N,?,?,Other data type list,?,Sample conditions ID,Pointer to '_Sample_condition_list.ID',Other data type list,?,Sample conditions ID,Pointer to '_Sample_condition_list.ID',?,?
23880,other_data_types,N,R,5,NMR_parameters,320,Other data type list,_Other_data_type_list.Sample_condition_list_label,,X,,,,Y,H,H,H,H,H,N,,,,,,Sample condition list label,VARCHAR(127),NOT NULL,,OtherDataTypeList,SampleConditionListLabel,N,N,,,,,,,,,N,6720,,9,,,,8,?,Sample conditions label,Pointer to a saveframe of the category 'sample_conditions',?,?,Y,Y,N,N,Y,N,?,?,?,O,V,V,V,V,V,V,V,V,V,V,V,?,0,Other_data_type_list,Sample_condition_list_label,?,?,?,?,Y,N,label,,?,?,?,Pointer to a saveframe of the category 'sample_conditions',,N,?,?,Other data type list,?,Sample conditions label,Pointer to a saveframe of the category 'sample_conditions',Other data type list,?,Sample conditions label,Pointer to a saveframe of the category 'sample_conditions',?,?
23890,other_data_types,N,R,5,NMR_parameters,320,Other data type list,_Other_data_type_list.Details,,O,,,,Y,Y,H,H,H,H,N,,,,,,Details,TEXT,,,OtherDataTypeList,Details,N,N,,,,,,,,,N,6730,,,,,,0,?,Details,Provide a brief description of the kind of data that is being deposited.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,2,Other_data_type_list,Details,?,?,?,?,Y,N,text,,?,?,?,Provide a brief description of the kind of data that is being deposited.,,N,?,?,Other data type list,?,Details,Provide a brief description of the kind of data that is being deposited.,Other data type list,?,Details,Provide a brief description of the kind of data that is being deposited.,?,?
