Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Description,STAR-CIF link ID,STAR to CIF transform code,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,internal,sg/public,sg/internal,usr/public,Overide publiM,Overide internal,Overide meta,Overide sg/publiM,Overide sg/internal,Overide usr/publiM,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,pdbx equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type
14470,RDCs,N,R,5,NMR_parameters,270,Residual dipolar couplings,_RDC_list.Sf_framecode,,X,,,,Y,Y,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,RDCList,SfFramecode,N,N,,,,,,,,,N,4380,,,,,,2,?,Residual dipolar couplings list label,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,?,?,Y,Y,Y,N,N,N,?,?,?,R,R,R,I,I,I,I,I,I,I,I,I,RDC_list_1,1,RDC_list,Sf_framecode,?,?,?,?,Y,N,line
14480,RDCs,N,R,5,NMR_parameters,270,Residual dipolar couplings,_RDC_list.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,RDCList,EntryID,N,N,,,,Entry,ID,,,,N,4390,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC_list,Entry_ID,Y,?,?,?,Y,N,code
14490,RDCs,N,R,5,NMR_parameters,270,Residual dipolar couplings,_RDC_list.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,RDCList,SfID,N,Y,Y,Y,,,,,,,N,4400,,,,,,4,?,n/a,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,0,RDC_list,Sf_ID,?,?,?,?,Y,N,line
14500,RDCs,N,R,5,NMR_parameters,270,Residual dipolar couplings,_RDC_list.ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,RDCList,RDCListID,N,N,Y,,,,,,,,N,4410,,,,,,5,?,n/a,Unique identifier for the list of observed residual dipolar couplings.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC_list,ID,Y,?,?,?,Y,N,line
14510,RDCs,N,R,5,NMR_parameters,270,Residual dipolar couplings,_RDC_list.Details,,O,,,,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,RDCList,Details,N,N,,,,,,,,,N,4420,,,,,,0,?,Details,Additional information regarding the RDC data set can be entered in this field.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,2,RDC_list,Details,?,?,?,?,Y,N,name
14520,RDCs,N,R,5,NMR_parameters,270,Residual dipolar couplings,_RDC_list.Sample_condition_list_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Sample condition list ID,CHAR(12),NOT NULL,,RDCList,SampleConditionListID,N,N,,,,Sample_condition_list,ID,,,,N,4430,,,,,,7,?,Sample conditions ID,Pointer to '_Sample_condition_list.ID',?,?,Y,Y,N,N,N,N,_Sample_condition_list.ID,?,_Sample_condition_list.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC_list,Sample_condition_list_ID,?,?,?,?,Y,N,text
14530,RDCs,N,R,5,NMR_parameters,270,Residual dipolar couplings,_RDC_list.Sample_condition_list_label,,X,,,,Y,Y,Y,Y,Y,Y,N,,sample_conditions,_Sample_condition_list.Sf_framecode,,,Sample condition list label,VARCHAR(127),NOT NULL,,RDCList,SampleConditionListLabel,N,N,,,,,,,,,N,4440,,9,,,,0,?,Sample conditions label,The label for the set of experimental sample conditions used to collect the data for determination of the residual dipolar coupling values.,?,?,Y,Y,N,N,Y,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,1,RDC_list,Sample_condition_list_label,?,?,?,?,Y,N,code
14540,RDCs,N,R,5,NMR_parameters,270,Residual dipolar couplings,_RDC_list.Spectrometer_frequency_1H,,MC,,,,Y,Y,Y,Y,Y,Y,N,,,,,,Spectrometer frequency 1H,FLOAT,NOT NULL,,RDCList,SpectrometerFrequency1H,N,N,,,,,,,,,N,4450,,,,,,0,600.1283731,Spectrometer frequency 1H,The operating proton frequency in MHz of the NMR spectrometer used to collect the data.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,1,RDC_list,Spectrometer_frequency_1H,?,?,?,?,Y,N,line
14550,RDCs,N,R,5,NMR_parameters,270,Residual dipolar couplings,_RDC_list.Data_file_name,,,,,,Y,Y,H,H,H,H,N,,Upload data,_Upload_data.Data_file_name,,,Data file name,VARCHAR(127),,,RDCList,DataFileName,N,N,,,,,,,,,N,4460,,19,,,,0,?,Deposited data file name,The name of the file submitted with this depostion that contains the quantitative data for this saveframe.,?,?,Y,Y,N,N,N,N,?,?,?,I,R,R,I,R,R,I,R,R,O,O,O,?,1,RDC_list,Data_file_name,?,?,?,?,Y,N,code
14560,RDCs,N,R,5,NMR_parameters,270,Residual dipolar couplings,_RDC_list.Text_data_format,,X,,,,Y,H,Y,Y,Y,Y,N,,,,,,Text data format,VARCHAR(31),,,RDCList,TextDataFormat,N,N,,,,,,,,,N,4470,,,,,,0,?,Text data format,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,RDC_list,Text_data_format,?,?,?,?,Y,N,line
14570,RDCs,N,R,5,NMR_parameters,270,Residual dipolar couplings,_RDC_list.Text_data,,X,,,,Y,H,Y,Y,Y,Y,N,,,,,,Text data,TEXT,,,RDCList,TextData,N,N,,,,,,,,,N,4480,,,,,,0,?,Text data,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,RDC_list,Text_data,?,?,?,?,N,N,int
14580,RDCs,N,T6,5,NMR_parameters,270,Software,_RDC_software_apps.Software_ID,,SC,,,,Y,H,H,H,H,H,N,,,,,,Software ID,CHAR(12),NOT NULL,,RDCSoftwareApps,SoftwareID,N,N,,Y,,Software,ID,,,,Y,10,,,,,,7,?,Software ID,Pointer to '_Software.ID',?,?,Y,Y,N,N,N,N,_Software.ID,?,_Software.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,RDC_software_apps,Software_ID,Y,?,?,?,Y,N,code
14590,RDCs,N,T6,5,NMR_parameters,270,Software,_RDC_software_apps.Software_label,,X,,,,Y,N,H,H,H,H,N,,software,_Software.Sf_framecode,,,Software label,VARCHAR(127),NOT NULL,,RDCSoftwareApps,SoftwareLabel,N,N,,,,,,,,,Y,20,,11,,,,0,?,Software label,Pointer to a saveframe of the category 'software',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,RDC_software_apps,Software_label,?,?,?,?,Y,N,code
14600,RDCs,N,T6,5,NMR_parameters,270,Software,_RDC_software_apps.Method_ID,,SC,,,,Y,H,H,H,H,H,N,,,,,,Method ID,CHAR(12),,,RDCSoftwareApps,MethodID,N,N,,,,Method,ID,,,,Y,30,,,,,,7,?,Method ID,Pointer to '_Method.ID',?,?,Y,Y,N,N,N,N,_Method.ID,?,_Method.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,RDC_software_apps,Method_ID,?,?,?,?,Y,N,code
14610,RDCs,N,T6,5,NMR_parameters,270,Software,_RDC_software_apps.Method_label,,X,,,,Y,N,H,H,H,H,N,,,,,,Method label,VARCHAR(127),,,RDCSoftwareApps,MethodLabel,N,N,,,,,,,,,Y,40,,12,,,,0,?,Method label,Pointer to a saveframe of the category 'method',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,RDC_software_apps,Method_label,?,?,?,?,Y,N,line
14620,RDCs,N,T6,5,NMR_parameters,270,Software,_RDC_software_apps.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,RDCSoftwareApps,SfID,N,Y,,Y,,RDC_list,Sf_ID,,,,Y,50,,,,,,4,?,n/a,Pointer to '_RDC_list.Sf_ID',?,?,Y,Y,N,N,N,N,_RDC_list.Sf_ID,?,_RDC_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,RDC_software_apps,Sf_ID,?,?,?,?,Y,N,code
14630,RDCs,N,T6,5,NMR_parameters,270,Software,_RDC_software_apps.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,RDCSoftwareApps,EntryID,N,N,,,,Entry,ID,,,,Y,60,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,O,O,O,R,R,R,R,R,R,R,R,R,?,0,RDC_software_apps,Entry_ID,?,?,?,?,Y,N,line
14640,RDCs,N,T6,5,NMR_parameters,270,Software,_RDC_software_apps.RDC_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,RDC list ID,CHAR(12),NOT NULL,,RDCSoftwareApps,RDCListID,N,N,,,,RDC_list,ID,,,,Y,70,,,,,,5,?,n/a,Pointer to '_RDC_list.ID',?,?,Y,Y,N,N,N,N,_RDC_list.ID,?,_RDC_list.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,RDC_software_apps,RDC_list_ID,Y,?,?,?,Y,N,name
14650,RDCs,N,T6,5,NMR_parameters,270,NMR experiments and samples,_RDC_experiment.NMR_spec_expt_ID,,SC,,,,Y,H,H,H,H,H,N,,,,,,NMR spec expt ID,CHAR(12),,,RDCExperiment,NMRSpecExptID,N,N,,,,NMR_spec_expt,ID,,,,Y,10,,,,,,7,?,Experiment ID,Pointer to '_NMR_spec_expt.ID',?,?,Y,Y,N,N,N,N,_NMR_spec_expt.ID,?,_NMR_spec_expt.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,RDC_experiment,NMR_spec_expt_ID,?,?,?,?,Y,N,int
14660,RDCs,N,T6,5,NMR_parameters,270,NMR experiments and samples,_RDC_experiment.NMR_spec_expt_label,,X,,,,Y,N,H,H,H,H,N,,,,,,NMR spec expt label,VARCHAR(127),,,RDCExperiment,NMRSpecExptLabel,N,N,,,,,,,,,Y,20,,10,,,,0,?,Experiment label,Pointer to a saveframe of the category 'NMR_spectrometer_expt',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,RDC_experiment,NMR_spec_expt_label,?,?,?,?,Y,N,code
14670,RDCs,N,T6,5,NMR_parameters,270,NMR experiments and samples,_RDC_experiment.Sample_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Sample ID,CHAR(12),NOT NULL,,RDCExperiment,SampleID,N,N,,Y,,Sample,ID,,,,Y,30,,,,,,7,?,Sample ID,Pointer to '_Sample.ID',?,?,Y,Y,N,N,N,N,_Sample.ID,?,_Sample.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC_experiment,Sample_ID,Y,?,?,?,Y,N,code
14680,RDCs,N,T6,5,NMR_parameters,270,NMR experiments and samples,_RDC_experiment.Sample_label,,X,,,,Y,Y,H,H,H,H,N,,sample,_Sample.Sf_framecode,,,Sample label,VARCHAR(127),NOT NULL,,RDCExperiment,SampleLabel,N,N,,,,,,,,,Y,40,,8,,,,0,?,Sample label,Pointer to a saveframe of the category 'sample',?,?,Y,Y,N,N,Y,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,1,RDC_experiment,Sample_label,?,?,?,?,Y,N,code
14690,RDCs,N,T6,5,NMR_parameters,270,NMR experiments and samples,_RDC_experiment.Sample_state,,MC,Y,,,Y,Y,H,H,H,H,N,,,,,,Sample state,VARCHAR(31),,,RDCExperiment,SampleState,N,N,,Y,,,,,,,Y,50,,,,,,0,?,Sample state,Physical state of the sample either anisotropic or isotropic.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,R,R,R,R,R,R,R,R,R,anisotropic,1,RDC_experiment,Sample_state,Y,?,?,?,Y,N,code
14700,RDCs,N,T6,5,NMR_parameters,270,NMR experiments and samples,_RDC_experiment.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,RDCExperiment,SfID,N,Y,,Y,,RDC_list,Sf_ID,,,,Y,60,,,,,,4,?,n/a,Pointer to '_RDC_list.Sf_ID',?,?,Y,Y,N,N,N,N,_RDC_list.Sf_ID,?,_RDC_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,RDC_experiment,Sf_ID,?,?,?,?,Y,N,code
14710,RDCs,N,T6,5,NMR_parameters,270,NMR experiments and samples,_RDC_experiment.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,RDCExperiment,EntryID,N,N,,,,Entry,ID,,,,Y,70,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC_experiment,Entry_ID,?,?,?,?,Y,N,code
14720,RDCs,N,T6,5,NMR_parameters,270,NMR experiments and samples,_RDC_experiment.RDC_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,RDC list ID,CHAR(12),NOT NULL,,RDCExperiment,RDCListID,N,N,,,,RDC_list,ID,,,,Y,80,,,,,,5,?,n/a,Pointer to '_RDC_list.ID',?,?,Y,Y,N,N,N,N,_RDC_list.ID,?,_RDC_list.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC_experiment,RDC_list_ID,Y,?,?,?,Y,N,code
14730,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.ID,,X,,,,N,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,RDC,RDCID,N,N,,Y,,,,,,,Y,10,,,,,,0,?,n/a,Unique identifier for the observed residual dipolar coupling.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,ID,Y,?,?,?,N,N,int
14740,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.RDC_code,,X,,,,N,H,H,H,H,H,N,,,,,,RDC code,VARCHAR(15),NOT NULL,,RDC,RDCCode,N,N,,,,,,,,,Y,20,,,,,,0,?,n/a,A community standard code used to describe the type of observed residual dipolar coupling.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,RDC_code,?,?,?,?,N,N,code
14750,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Entry_atom_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Entry atom ID 1,CHAR(12),,,RDC,EntryAtomID1,N,N,,,,Atom,Entry_atom_ID,,,,Y,30,,,,,,0,?,n/a,Pointer to '_Atom.Entry_atom_ID',?,?,Y,Y,N,N,N,N,_Atom.Entry_atom_ID,?,_Atom.Entry_atom_ID,O,O,I,O,O,O,O,O,O,O,O,O,?,0,RDC,Entry_atom_ID_1,?,?,?,?,N,N,code
14760,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Entity_assembly_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Entity assembly ID 1,CHAR(12),NOT NULL,,RDC,EntityAssemblyID1,N,N,,,,Entity_assembly,ID,,,,Y,40,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,_Entity_assembly.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Entity_assembly_ID_1,?,?,?,?,N,N,code
14770,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Entity_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Entity ID 1,CHAR(12),NOT NULL,,RDC,EntityID1,N,N,,,,Entity,ID,,,,Y,50,,,,,,0,?,n/a,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,_Entity.ID,?,_Entity.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Entity_ID_1,?,?,?,?,N,N,float
14780,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Comp_index_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Comp index ID 1,CHAR(12),NOT NULL,,RDC,CompIndexID1,N,N,,,,Entity_comp_index,ID,,,,Y,60,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Comp_index_ID_1,?,?,?,?,N,N,float
14790,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Seq_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Seq ID 1,INTEGER,NOT NULL,,RDC,SeqID1,N,N,,,,Entity_poly_seq,Num,,,,Y,70,,,,,,0,?,n/a,Pointer to '_Entity_poly_seq.Num',?,?,Y,Y,N,N,N,N,?,?,_Entity_poly_seq.Num,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Seq_ID_1,?,?,?,?,N,N,float
14800,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Comp_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Comp ID 1,CHAR(12),NOT NULL,,RDC,CompID1,N,N,,,,Chem_comp,ID,,,,Y,80,,,,,,0,?,n/a,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,?,_Chem_comp.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Comp_ID_1,?,?,?,?,N,N,float
14810,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Atom_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Atom ID 1,CHAR(12),NOT NULL,,RDC,AtomID1,N,N,,,,Chem_comp_atom,Atom_ID,,,,Y,90,,,,,,0,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Chem_comp_atom.Atom_ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Atom_ID_1,?,?,?,?,N,N,code
14820,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Atom_type_1,,X,,,,N,H,H,H,H,H,N,,,,,,Atom type 1,VARCHAR(15),NOT NULL,,RDC,AtomType1,N,N,,,,,,,,,Y,100,,,,,,0,?,n/a,Standard symbol used to define the atom element type.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Atom_type_1,?,?,?,?,N,N,code
14830,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Ambiguity_code_1,,X,,,,N,H,H,H,H,H,N,,,,,,Ambiguity code 1,VARCHAR(127),,,RDC,AmbiguityCode1,N,N,,,,,,,,,Y,110,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,I,O,O,O,O,O,O,O,O,O,?,0,RDC,Ambiguity_code_1,?,?,?,?,N,N,code
14840,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Entry_atom_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Entry atom ID 2,CHAR(12),,,RDC,EntryAtomID2,N,N,,,,Atom,Entry_atom_ID,,,,Y,120,,,,,,0,?,n/a,Pointer to '_Atom.Entry_atom_ID',?,?,Y,Y,N,N,N,N,_Atom.Entry_atom_ID,?,_Atom.Entry_atom_ID,O,O,I,O,O,O,O,O,O,O,O,O,?,0,RDC,Entry_atom_ID_2,?,?,?,?,N,N,code
14850,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Entity_assembly_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Entity assembly ID 2,CHAR(12),NOT NULL,,RDC,EntityAssemblyID2,N,N,,,,Entity_assembly,ID,,,,Y,130,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,_Entity_assembly.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Entity_assembly_ID_2,?,?,?,?,N,N,code
14860,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Entity_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Entity ID 2,CHAR(12),NOT NULL,,RDC,EntityID2,N,N,,,,Entity,ID,,,,Y,140,,,,,,0,?,n/a,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,_Entity.ID,?,_Entity.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Entity_ID_2,?,?,?,?,N,N,int
14870,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Comp_index_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Comp index ID 2,CHAR(12),NOT NULL,,RDC,CompIndexID2,N,N,,,,Entity_comp_index,ID,,,,Y,150,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Comp_index_ID_2,?,?,?,?,N,N,code
14880,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Seq_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Seq ID 2,INTEGER,NOT NULL,,RDC,SeqID2,N,N,,,,Entity_poly_seq,Num,,,,Y,160,,,,,,0,?,n/a,Pointer to '_Entity_poly_seq.Num',?,?,Y,Y,N,N,N,N,?,?,_Entity_poly_seq.Num,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Seq_ID_2,?,?,?,?,N,N,code
14890,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Comp_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Comp ID 2,CHAR(12),NOT NULL,,RDC,CompID2,N,N,,,,Chem_comp,ID,,,,Y,170,,,,,,0,?,n/a,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,?,_Chem_comp.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Comp_ID_2,?,?,?,?,N,N,name
14900,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Atom_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Atom ID 2,CHAR(12),NOT NULL,,RDC,AtomID2,N,N,,,,Chem_comp_atom,Atom_ID,,,,Y,180,,,,,,0,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Chem_comp_atom.Atom_ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Atom_ID_2,?,?,?,?,N,N,line
14910,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Atom_type_2,,X,,,,N,H,H,H,H,H,N,,,,,,Atom type 2,VARCHAR(15),NOT NULL,,RDC,AtomType2,N,N,,,,,,,,,Y,190,,,,,,0,?,n/a,Standard symbol used to define the atom element type.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Atom_type_2,?,?,?,?,N,N,code
14920,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Ambiguity_code_2,,X,,,,N,H,H,H,H,H,N,,,,,,Ambiguity code 2,VARCHAR(127),,,RDC,AmbiguityCode2,N,N,,,,,,,,,Y,200,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,I,O,O,O,O,O,O,O,O,O,?,0,RDC,Ambiguity_code_2,?,?,?,?,N,N,int
14930,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Val,,X,,,,N,H,H,H,H,H,N,,,,,,Val,FLOAT,,,RDC,Val,N,N,,,,,,,,,Y,210,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,C,C,I,C,C,C,C,C,C,C,C,C,?,0,RDC,Val,?,?,?,?,N,N,code
14940,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Min_val,,X,,,,N,H,H,H,H,H,N,,,,,,Min val,FLOAT,,,RDC,MinVal,N,N,,,,,,,,,Y,220,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,C,C,I,C,C,C,C,C,C,C,C,C,?,0,RDC,Min_val,?,?,?,?,N,N,text
14950,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Max_val,,X,,,,N,H,H,H,H,H,N,,,,,,Max val,FLOAT,,,RDC,MaxVal,N,N,,,,,,,,,Y,230,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,C,C,I,C,C,C,C,C,C,C,C,C,?,0,RDC,Max_val,?,?,?,?,N,N,code
14960,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Val_err,,X,,,,N,H,H,H,H,H,N,,,,,,Val err,FLOAT,,,RDC,ValErr,N,N,,,,,,,,,Y,240,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,I,O,O,O,O,O,O,O,O,O,?,0,RDC,Val_err,?,?,?,?,N,N,line
14970,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Sf_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,RDC,SfID,N,Y,,Y,,RDC_list,Sf_ID,,,,Y,250,,,,,,4,?,n/a,Pointer to '_RDC_list.Sf_ID',?,?,Y,Y,N,N,N,N,_RDC_list.Sf_ID,?,_RDC_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,RDC,Sf_ID,?,?,?,?,N,N,float
14980,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Entry_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,RDC,EntryID,N,N,,,,Entry,ID,,,,Y,260,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,Entry_ID,?,?,?,?,N,N,line
14990,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.RDC_list_ID,,X,,,,N,H,H,H,H,H,N,,,,,,RDC list ID,CHAR(12),NOT NULL,,RDC,RDCListID,N,N,,,,RDC_list,ID,,,,Y,270,,,,,,5,?,n/a,Pointer to '_RDC_list.ID',?,?,Y,Y,N,N,N,N,_RDC_list.ID,?,_RDC_list.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,RDC,RDC_list_ID,Y,?,?,?,N,N,name
