Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,BMRB/CCPN status,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Loopflag,Seq,Dbspace,Example,Prompt,Description
17980,pKa_values,N,T6,7,thermodynamics,480, pKa,_pKa.Atom_titrated_atom_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Atom titrated atom ID,CHAR(12),NOT NULL,,pKa,AtomTitratedAtomID,N,N,,,1,ChemCompAtom,AtomID,,Y,180,1,?,?,?
17990,pKa_values,N,T6,7,thermodynamics,480, pKa,_pKa.Atom_titrated_atom_type,,,,,open,N,H,H,H,H,H,N,,,,,,Atom titrated atom type,VARCHAR(15),,,pKa,AtomTitratedAtomType,N,N,,,,,,,Y,190,1,?,?,?
18000,pKa_values,N,T6,7,thermodynamics,480, pKa,_pKa.Hill_coeff_val,,,,,open,N,H,H,H,H,H,N,,,,,,Hill coeff val,FLOAT,,,pKa,HillCoeffVal,N,N,,,,,,,Y,200,1,?,?,?
18010,pKa_values,N,T6,7,thermodynamics,480, pKa,_pKa.Hill_coeff_val_fit_err,,,,,open,N,H,H,H,H,H,N,,,,,,Hill coeff val fit err,FLOAT,,,pKa,HillCoeffValFitErr,N,N,,,,,,,Y,210,1,?,?,?
18020,pKa_values,N,T6,7,thermodynamics,480, pKa,_pKa.High_pH_param_fit_val,,,,,open,N,H,H,H,H,H,N,,,,,,High pH param fit val,FLOAT,,,pKa,HighPHParamFitVal,N,N,,,,,,,Y,220,1,?,?,?
18030,pKa_values,N,T6,7,thermodynamics,480, pKa,_pKa.High_pH_param_fit_val_err,,,,,open,N,H,H,H,H,H,N,,,,,,High pH param fit val err,FLOAT,,,pKa,HighPHParamFitValErr,N,N,,,,,,,Y,230,1,?,?,?
18040,pKa_values,N,T6,7,thermodynamics,480, pKa,_pKa.Low_pH_param_fit_val,,,,,open,N,H,H,H,H,H,N,,,,,,Low pH param fit val,FLOAT,,,pKa,LowPHParamFitVal,N,N,,,,,,,Y,240,1,?,?,?
18050,pKa_values,N,T6,7,thermodynamics,480, pKa,_pKa.Low_pH_param_fit_val_err,,,,,open,N,H,H,H,H,H,N,,,,,,Low pH param fit val err,FLOAT,,,pKa,LowPHParamFitValErr,N,N,,,,,,,Y,250,1,?,?,?
18060,pKa_values,N,T6,7,thermodynamics,480, pKa,_pKa.PKa_val,,,,,open,N,H,H,H,H,H,N,,,,,,PKa val,FLOAT,,,pKa,PKaVal,N,N,,,,,,,Y,260,1,?,?,?
18070,pKa_values,N,T6,7,thermodynamics,480, pKa,_pKa.PKa_val_fit_err,,,,,open,N,H,H,H,H,H,N,,,,,,PKa val fit err,FLOAT,,,pKa,PKaValFitErr,N,N,,,,,,,Y,270,1,?,?,?
18080,pH_param_list,N,R,7,thermodynamics,490, pH param list,_pH_param_list.Sf_category,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,pHParamList,SfCategory,N,N,,Y,,,,,N,4930,1,?,?,?
18090,pH_param_list,N,R,7,thermodynamics,490, pH param list,_pH_param_list.Sf_framecode,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,pHParamList,SfFramecode,N,N,,,,,,,N,4940,1,?,?,?
18100,pH_param_list,N,R,7,thermodynamics,490, pH param list,_pH_param_list.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,pHParamList,EntryID,N,N,,Y,1,EntryInformation,EntryID,,N,4950,1,?,?,?
18110,pH_param_list,N,R,7,thermodynamics,490, pH param list,_pH_param_list.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,pHParamList,SfID,N,Y,,Y,,,,,N,4960,1,?,?,?
18120,pH_param_list,N,R,7,thermodynamics,490, pH param list,_pH_param_list.PKa_values_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,PKa values ID,INTEGER,NOT NULL,,pHParamList,PKaValuesID,N,N,,,,PKaValues,PKaValuesSfID,,N,4970,1,?,?,?
18130,pH_param_list,N,R,7,thermodynamics,490, pH param list,_pH_param_list.PKa_values_label,,,,,open,Y,N,H,H,H,H,N,,,,,,PKa values label,VARCHAR(127),,,pHParamList,PKaValuesLabel,N,N,,,,,,,N,4980,1,?,?,?
18140,pH_param_list,N,R,7,thermodynamics,490, pH param list,_pH_param_list.Observed_NMR_param,,,,,open,Y,N,H,H,H,H,N,,,,,,Observed NMR param,VARCHAR(31),,,pHParamList,ObservedNMRParam,N,N,,,,,,,N,4990,1,?,?,?
18150,pH_param_list,N,R,7,thermodynamics,490, pH param list,_pH_param_list.Details,,,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,pHParamList,Details,N,N,,,,,,,N,5000,1,?,?,?
18160,pH_param_list,N,R,7,thermodynamics,490, pH param list,_pH_param_list.Text_data_format,,O,,,open,N,H,Y,Y,Y,Y,N,,,,,,Text data format,VARCHAR(31),,,pHParamList,TextDataFormat,N,N,,,,,,,N,5010,1,?,?,?
18170,pH_param_list,N,R,7,thermodynamics,490, pH param list,_pH_param_list.Text_data,,O,,,open,N,H,Y,Y,Y,Y,N,,,,,,Text data,TEXT,,,pHParamList,TextData,N,N,,,,,,,N,5020,1,?,?,?
18180,pH_param_list,N,T6,7,thermodynamics,490, pH param,_pH_param.Entry_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,pHParam,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
18190,pH_param_list,N,T6,7,thermodynamics,490, pH param,_pH_param.Sf_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,,,pHParam,SfID,N,Y,,Y,1,pHParamList,SfID,,Y,20,1,?,?,?
18200,pH_param_list,N,T6,7,thermodynamics,490, pH param,_pH_param.PH_param_list_ID,,,,,open,N,H,H,H,H,H,N,,,,,,PH param list ID,INTEGER,,,pHParam,PHParamListID,N,N,,,,,,,Y,30,1,?,?,?
18210,pH_param_list,N,T6,7,thermodynamics,490, pH param,_pH_param.PKa_ID,,,,,open,N,H,H,H,H,H,N,,,,,,PKa ID,INTEGER,,,pHParam,PKaID,N,N,,,,,,,Y,40,1,?,?,?
18220,pH_param_list,N,T6,7,thermodynamics,490, pH param,_pH_param.PH_val,,,,,open,N,H,H,H,H,H,N,,,,,,PH val,FLOAT,,,pHParam,PHVal,N,N,,,,,,,Y,50,1,?,?,?
18230,pH_param_list,N,T6,7,thermodynamics,490, pH param,_pH_param.PH_val_err,,,,,open,N,H,H,H,H,H,N,,,,,,PH val err,FLOAT,,,pHParam,PHValErr,N,N,,,,,,,Y,60,1,?,?,?
18240,pH_param_list,N,T6,7,thermodynamics,490, pH param,_pH_param.Observed_NMR_param_val,,,,,open,N,H,H,H,H,H,N,,,,,,Observed NMR param val,FLOAT,,,pHParam,ObservedNMRParamVal,N,N,,,,,,,Y,70,1,?,?,?
18250,pH_param_list,N,T6,7,thermodynamics,490, pH param,_pH_param.Observed_NMR_param_val_err,,,,,open,N,H,H,H,H,H,N,,,,,,Observed NMR param val err,FLOAT,,,pHParam,ObservedNMRParamValErr,N,N,,,,,,,Y,80,1,?,?,?
18260,D_H_fractionation_factors,N,R,7,thermodynamics,500, D H fractionation factors,_D_H_fractionation_factors.Sf_category,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,DHFractionationFactors,SfCategory,N,N,,Y,,,,,N,5030,1,?,?,?
18270,D_H_fractionation_factors,N,R,7,thermodynamics,500, D H fractionation factors,_D_H_fractionation_factors.Sf_framecode,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,DHFractionationFactors,SfFramecode,N,N,,,,,,,N,5040,1,?,?,?
18280,D_H_fractionation_factors,N,R,7,thermodynamics,500, D H fractionation factors,_D_H_fractionation_factors.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,DHFractionationFactors,EntryID,N,N,,Y,1,EntryInformation,EntryID,,N,5050,1,?,?,?
18290,D_H_fractionation_factors,N,R,7,thermodynamics,500, D H fractionation factors,_D_H_fractionation_factors.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,DHFractionationFactors,SfID,N,Y,,Y,,,,,N,5060,1,?,?,?
18300,D_H_fractionation_factors,N,R,7,thermodynamics,500, D H fractionation factors,_D_H_fractionation_factors.Details,,,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,DHFractionationFactors,Details,N,N,,,,,,,N,5070,1,?,?,?
18310,D_H_fractionation_factors,N,R,7,thermodynamics,500, D H fractionation factors,_D_H_fractionation_factors.Sample_conditions_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sample conditions ID,INTEGER,NOT NULL,,DHFractionationFactors,SampleConditionsID,N,N,,,,,,,N,5080,1,?,?,Integer value that identifies the sample conditions used when measuring the reported chemical shifts.
18320,D_H_fractionation_factors,N,R,7,thermodynamics,500, D H fractionation factors,_D_H_fractionation_factors.Sample_conditions_label,,MC,Y,,open,Y,N,Y,Y,Y,Y,N,,,,,,Sample conditions label,VARCHAR(127),,,DHFractionationFactors,SampleConditionsLabel,N,N,,,,,,,N,5090,1,?,?,?
18330,D_H_fractionation_factors,N,R,7,thermodynamics,500, D H fractionation factors,_D_H_fractionation_factors.Text_data_format,,O,,,open,N,H,Y,Y,Y,Y,N,,,,,,Text data format,VARCHAR(31),,,DHFractionationFactors,TextDataFormat,N,N,,,,,,,N,5100,1,?,?,?
18340,D_H_fractionation_factors,N,R,7,thermodynamics,500, D H fractionation factors,_D_H_fractionation_factors.Text_data,,O,,,open,N,H,Y,Y,Y,Y,N,,,,,,Text data,TEXT,,,DHFractionationFactors,TextData,N,N,,,,,,,N,5110,1,?,?,?
18350,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Software,_Software.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,Software,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
18360,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Software,_Software.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,Software,SfID,N,Y,,Y,1,DHFractionationFactors,SfID,,Y,20,1,?,?,?
18370,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Software,_Software.Software_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Software ID,CHAR(12),NOT NULL,,Software,SoftwareID,N,N,,,,Software,SoftwareID,,Y,30,1,?,?,?
18380,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Software,_Software.Software_label,,,,,open,Y,N,H,H,H,H,N,,,,,,Software label,VARCHAR(127),,,Software,SoftwareLabel,N,N,,,,,,,Y,40,1,?,?,?
18390,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Software,_Software.Method_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Method ID,CHAR(12),NOT NULL,,Software,MethodID,N,N,,,,Methods,MethodID,,Y,50,1,?,?,?
18400,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Software,_Software.Method_label,,,,,open,Y,N,H,H,H,H,N,,,,,,Method label,VARCHAR(127),,,Software,MethodLabel,N,N,,,,,,,Y,60,1,?,?,?
18410,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Experiment,_Experiment.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,Experiment,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
18420,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Experiment,_Experiment.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,Experiment,SfID,N,Y,,Y,1,DHFractionationFactors,SfID,,Y,20,1,?,?,?
18430,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Experiment,_Experiment.Experiment_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Experiment ID,INTEGER,NOT NULL,,Experiment,ExperimentID,N,N,,Y,,,,,Y,30,1,?,?,?
18440,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Experiment,_Experiment.Experiment_label,,,,,open,Y,N,H,H,H,H,N,,,,,,Experiment label,VARCHAR(127),,,Experiment,ExperimentLabel,N,N,,,,,,,Y,40,1,?,?,?
18450,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Experiment,_Experiment.Method_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Method ID,CHAR(12),NOT NULL,,Experiment,MethodID,N,N,,,,Methods,MethodID,,Y,50,1,?,?,?
18460,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Experiment,_Experiment.Method_label,,,,,open,Y,N,H,H,H,H,N,,,,,,Method label,VARCHAR(127),,,Experiment,MethodLabel,N,N,,,,,,,Y,60,1,?,?,?
18470,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Experiment,_Experiment.Sample_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sample ID,CHAR(12),NOT NULL,,Experiment,SampleID,N,N,,,,Sample,SampleID,,Y,70,1,?,?,?
18480,D_H_fractionation_factors,N,T6,7,thermodynamics,500, Experiment,_Experiment.Sample_label,,,,,open,Y,N,H,H,H,H,N,,,,,,Sample label,VARCHAR(127),,,Experiment,SampleLabel,N,N,,,,,,,Y,80,1,?,?,?
18490,D_H_fractionation_factors,N,T6,7,thermodynamics,500, H fractionation factor,_H_fractionation_factor.Entry_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,HFractionationFactor,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
18500,D_H_fractionation_factors,N,T6,7,thermodynamics,500, H fractionation factor,_H_fractionation_factor.Sf_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,HFractionationFactor,SfID,N,Y,,Y,1,DHFractionationFactors,SfID,,Y,20,1,?,?,?
18510,D_H_fractionation_factors,N,T6,7,thermodynamics,500, H fractionation factor,_H_fractionation_factor.H_fractionation_factor_ID,,,,,open,N,H,H,H,H,H,N,,,,,,H fractionation factor ID,INTEGER,NOT NULL,,HFractionationFactor,HFractionationFactorID,Y,N,,Y,,,,,Y,30,1,?,?,?
18520,D_H_fractionation_factors,N,T6,7,thermodynamics,500, H fractionation factor,_H_fractionation_factor.Atom_global_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Atom global ID,INTEGER,,,HFractionationFactor,AtomGlobalID,N,N,,,,,,,Y,40,1,?,?,?
18530,D_H_fractionation_factors,N,T6,7,thermodynamics,500, H fractionation factor,_H_fractionation_factor.Molecule_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Molecule ID,CHAR(12),NOT NULL,,HFractionationFactor,MoleculeID,N,N,,,1,Entity,MoleculeID,,Y,50,1,?,?,?
18540,D_H_fractionation_factors,N,T6,7,thermodynamics,500, H fractionation factor,_H_fractionation_factor.Molecule_code,,,,,open,N,H,H,H,H,H,N,,,,,,Molecule code,VARCHAR(15),,,HFractionationFactor,MoleculeCode,N,N,,,,,,,Y,60,1,?,?,?
18550,D_H_fractionation_factors,N,T6,7,thermodynamics,500, H fractionation factor,_H_fractionation_factor.Chem_comp_index_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Chem comp index ID,INTEGER,,,HFractionationFactor,ChemCompIndexID,N,N,,,1,MolSeq,ChemCompIndexID,,Y,70,1,?,?,?
18560,D_H_fractionation_factors,N,T6,7,thermodynamics,500, H fractionation factor,_H_fractionation_factor.Chem_comp_seq_num,,,,,open,N,H,H,H,H,H,N,,,,,,Chem comp seq num,INTEGER,,,HFractionationFactor,ChemCompSeqNum,N,N,,,,MolSeq,ChemCompSeqNum,,Y,80,1,?,?,?
18570,D_H_fractionation_factors,N,T6,7,thermodynamics,500, H fractionation factor,_H_fractionation_factor.Chem_comp_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Chem comp ID,CHAR(12),NOT NULL,,HFractionationFactor,ChemCompID,N,N,,,1,ChemComp,ChemCompID,,Y,90,1,?,?,?
18580,D_H_fractionation_factors,N,T6,7,thermodynamics,500, H fractionation factor,_H_fractionation_factor.Atom_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Atom ID,CHAR(12),NOT NULL,,HFractionationFactor,AtomID,N,N,,,1,ChemCompAtom,AtomID,,Y,100,1,?,?,?
18590,D_H_fractionation_factors,N,T6,7,thermodynamics,500, H fractionation factor,_H_fractionation_factor.Atom_type,,X,,,open,N,H,Y,Y,Y,Y,N,,,,,,Atom type,VARCHAR(15),,,HFractionationFactor,AtomType,N,N,,,,,,,Y,110,1,?,?,The value for this tag is a standard IUPAC abbreviation for an element (i.e.\$ H\$ C\$ P\$ etc).
18600,D_H_fractionation_factors,N,T6,7,thermodynamics,500, H fractionation factor,_H_fractionation_factor.H_fractionation_factor_val,,,,,open,N,H,H,H,H,H,N,,,,,,H fractionation factor val,FLOAT,,,HFractionationFactor,HFractionationFactorVal,N,N,,,,,,,Y,120,1,?,?,?
18610,D_H_fractionation_factors,N,T6,7,thermodynamics,500, H fractionation factor,_H_fractionation_factor.H_fractionation_factor_val_err,,,,,open,N,H,H,H,H,H,N,,,,,,H fractionation factor val err,FLOAT,,,HFractionationFactor,HFractionationFactorValErr,N,N,,,,,,,Y,130,1,?,?,?
18620,secondary_struct_features,N,R,8,structure,550, Secondary struct features,_Secondary_struct_features.Sf_category,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,SecondaryStructFeatures,SfCategory,N,N,,Y,,,,,N,5120,1,?,?,?
18630,secondary_struct_features,N,R,8,structure,550, Secondary struct features,_Secondary_struct_features.Sf_framecode,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,SecondaryStructFeatures,SfFramecode,N,N,,,,,,,N,5130,1,?,?,?
18640,secondary_struct_features,N,R,8,structure,550, Secondary struct features,_Secondary_struct_features.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SecondaryStructFeatures,EntryID,N,N,,Y,1,EntryInformation,EntryID,,N,5140,1,?,?,?
18650,secondary_struct_features,N,R,8,structure,550, Secondary struct features,_Secondary_struct_features.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,SecondaryStructFeatures,SfID,N,Y,,Y,,,,,N,5150,1,?,?,?
18660,secondary_struct_features,N,R,8,structure,550, Secondary struct features,_Secondary_struct_features.Details,,,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,SecondaryStructFeatures,Details,N,N,,,,,,,N,5160,1,?,?,?
18670,secondary_struct_features,N,R,8,structure,550, Secondary struct features,_Secondary_struct_features.Sample_conditions_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sample conditions ID,INTEGER,NOT NULL,,SecondaryStructFeatures,SampleConditionsID,N,N,,,,,,,N,5170,1,?,?,Integer value that identifies the sample conditions used when measuring the reported chemical shifts.
18680,secondary_struct_features,N,R,8,structure,550, Secondary struct features,_Secondary_struct_features.Sample_conditions_label,,MC,Y,,open,Y,N,Y,Y,Y,Y,N,,,,,,Sample conditions label,VARCHAR(127),,,SecondaryStructFeatures,SampleConditionsLabel,N,N,,,,,,,N,5180,1,?,?,?
18690,secondary_struct_features,N,R,8,structure,550, Secondary struct features,_Secondary_struct_features.Residue_struct_value_details,,,,,open,Y,N,H,H,H,H,N,,,,,,Residue struct value details,TEXT,,,SecondaryStructFeatures,ResidueStructValueDetails,N,N,,,,,,,N,5190,1,?,?,?
18700,secondary_struct_features,N,R,8,structure,550, Secondary struct features,_Secondary_struct_features.Text_data_format,,O,,,open,N,H,Y,Y,Y,Y,N,,,,,,Text data format,VARCHAR(31),,,SecondaryStructFeatures,TextDataFormat,N,N,,,,,,,N,5200,1,?,?,?
18710,secondary_struct_features,N,R,8,structure,550, Secondary struct features,_Secondary_struct_features.Text_data,,O,,,open,N,H,Y,Y,Y,Y,N,,,,,,Text data,TEXT,,,SecondaryStructFeatures,TextData,N,N,,,,,,,N,5210,1,?,?,?
18720,secondary_struct_features,N,T6,8,structure,550, Software,_Software.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,Software,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
18730,secondary_struct_features,N,T6,8,structure,550, Software,_Software.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,,,Software,SfID,N,Y,,Y,1,SecondaryStructFeatures,SfID,,Y,20,1,?,?,?
18740,secondary_struct_features,N,T6,8,structure,550, Software,_Software.Software_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Software ID,CHAR(12),NOT NULL,,Software,SoftwareID,N,N,,,,Software,SoftwareID,,Y,30,1,?,?,?
18750,secondary_struct_features,N,T6,8,structure,550, Software,_Software.Software_label,,,,,open,Y,N,H,H,H,H,N,,,,,,Software label,VARCHAR(127),,,Software,SoftwareLabel,N,N,,,,,,,Y,40,1,?,?,?
18760,secondary_struct_features,N,T6,8,structure,550, Software,_Software.Method_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Method ID,CHAR(12),NOT NULL,,Software,MethodID,N,N,,,,Methods,MethodID,,Y,50,1,?,?,?
18770,secondary_struct_features,N,T6,8,structure,550, Software,_Software.Method_label,,,,,open,Y,N,H,H,H,H,N,,,,,,Method label,VARCHAR(127),,,Software,MethodLabel,N,N,,,,,,,Y,60,1,?,?,?
18780,secondary_struct_features,N,T6,8,structure,550, Experiment,_Experiment.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,Experiment,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
18790,secondary_struct_features,N,T6,8,structure,550, Experiment,_Experiment.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,,,Experiment,SfID,N,Y,,Y,1,SecondaryStructFeatures,SfID,,Y,20,1,?,?,?
18800,secondary_struct_features,N,T6,8,structure,550, Experiment,_Experiment.Experiment_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Experiment ID,INTEGER,,,Experiment,ExperimentID,N,N,,,,,,,Y,30,1,?,?,?
18810,secondary_struct_features,N,T6,8,structure,550, Experiment,_Experiment.Experiment_label,,,,,open,Y,N,H,H,H,H,N,,,,,,Experiment label,VARCHAR(127),,,Experiment,ExperimentLabel,N,N,,,,,,,Y,40,1,?,?,?
18820,secondary_struct_features,N,T6,8,structure,550, Experiment,_Experiment.Methods_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Methods ID,INTEGER,,,Experiment,MethodsID,N,N,,,,,,,Y,50,1,?,?,?
18830,secondary_struct_features,N,T6,8,structure,550, Experiment,_Experiment.Method_label,,,,,open,Y,N,H,H,H,H,N,,,,,,Method label,VARCHAR(127),,,Experiment,MethodLabel,N,N,,,,,,,Y,60,1,?,?,?
18840,secondary_struct_features,N,T6,8,structure,550, Experiment,_Experiment.Sample_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sample ID,CHAR(12),NOT NULL,,Experiment,SampleID,N,N,,,,Sample,SampleID,,Y,70,1,?,?,?
18850,secondary_struct_features,N,T6,8,structure,550, Experiment,_Experiment.Sample_label,,,,,open,Y,N,H,H,H,H,N,,,,,,Sample label,VARCHAR(127),,,Experiment,SampleLabel,N,N,,,,,,,Y,80,1,?,?,?
18860,secondary_struct_features,N,T6,8,structure,550, Expt applied data set,_Expt_applied_data_set.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,ExptAppliedDataSet,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
18870,secondary_struct_features,N,T6,8,structure,550, Expt applied data set,_Expt_applied_data_set.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,ExptAppliedDataSet,SfID,N,Y,,Y,1,SecondaryStructFeatures,SfID,,Y,20,1,?,?,?
18880,secondary_struct_features,N,T6,8,structure,550, Expt applied data set,_Expt_applied_data_set.Expt_applied_data_set_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Expt applied data set ID,INTEGER,NOT NULL,,ExptAppliedDataSet,ExptAppliedDataSetID,Y,N,,Y,,,,,Y,30,1,?,?,?
18890,secondary_struct_features,N,T6,8,structure,550, Expt applied data set,_Expt_applied_data_set.Expt_applied_data_set_label,,,,,open,Y,N,H,H,H,H,N,,,,,,Expt applied data set label,VARCHAR(127),,,ExptAppliedDataSet,ExptAppliedDataSetLabel,N,N,,,,,,,Y,40,1,?,?,?
18900,secondary_struct_features,N,T6,8,structure,550, Protocol citation,_Protocol_citation.Entry_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,ProtocolCitation,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
18910,secondary_struct_features,N,T6,8,structure,550, Protocol citation,_Protocol_citation.Sf_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,ProtocolCitation,SfID,N,Y,,Y,1,SecondaryStructFeatures,SfID,,Y,20,1,?,?,?
18920,secondary_struct_features,N,T6,8,structure,550, Protocol citation,_Protocol_citation.Protocol_cit_ID,,,,,open,Y,H,H,H,H,H,N,,,,,,Protocol cit ID,INTEGER,,,ProtocolCitation,ProtocolCitID,N,N,,,1,Citations,CitID,,Y,30,1,?,?,?
18930,secondary_struct_features,N,T6,8,structure,550, Protocol citation,_Protocol_citation.Protocol_cit_label,,,,,open,Y,N,H,H,H,H,N,,,,,,Protocol cit label,VARCHAR(127),,,ProtocolCitation,ProtocolCitLabel,N,N,,,,,,,Y,40,1,?,?,?
18940,secondary_struct_features,N,T6,8,structure,550, Secondary struct feature,_Secondary_struct_feature.Entry_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SecondaryStructFeature,EntryID,N,N,,Y,1,EntryInformation,EntryID,,Y,10,1,?,?,?
18950,secondary_struct_features,N,T6,8,structure,550, Secondary struct feature,_Secondary_struct_feature.Sf_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,SecondaryStructFeature,SfID,N,Y,,Y,1,SecondaryStructFeatures,SfID,,Y,20,1,?,?,?
18960,secondary_struct_features,N,T6,8,structure,550, Secondary struct feature,_Secondary_struct_feature.Secondary_struct_feature_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Secondary struct feature ID,INTEGER,,,SecondaryStructFeature,SecondaryStructFeatureID,N,N,,,,,,,Y,30,1,?,?,?
18970,secondary_struct_features,N,T6,8,structure,550, Secondary struct feature,_Secondary_struct_feature.Atom_global_ID,,,,,open,N,H,H,H,H,H,N,,,,,,Atom global ID,INTEGER,,,SecondaryStructFeature,AtomGlobalID,N,N,,,,,,,Y,40,1,?,?,?
