Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,DbSpace,Example,Prompt,Description,STAR-CIF link ID,STAR to CIF transform code,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,sg/public,sg/internal,usr/public,usr/internal,Overide publiM,Overide internal,Overide sg/publiM,Overide sg/internal,Overide usr/publiM,Overide usr/internal,default value,Adit form code,Tag category,Tag field,Local key
14670,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Comp_index_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Comp index ID 1,CHAR(12),NOT NULL,,RDC,CompIndexID1,N,N,,,,Entity_comp_index,ID,,,,Y,90,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC,Comp_index_ID_1,?
14680,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Seq_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Seq ID 1,INTEGER,NOT NULL,,RDC,SeqID1,N,N,,,,Entity_poly_seq,Num,,,,Y,100,,,,,,0,?,n/a,Pointer to '_Entity_poly_seq.Num',?,?,Y,Y,N,N,N,N,?,?,_Entity_poly_seq.Num,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC,Seq_ID_1,?
14690,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Comp_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Comp ID 1,CHAR(12),NOT NULL,,RDC,CompID1,N,N,,,,Chem_comp,ID,,,,Y,110,,,,,,0,?,n/a,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,?,_Chem_comp.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC,Comp_ID_1,?
14700,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Atom_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Atom ID 1,CHAR(12),NOT NULL,,RDC,AtomID1,N,N,,,,Chem_comp_atom,Atom_ID,,,,Y,120,,,,,,0,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Chem_comp_atom.Atom_ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC,Atom_ID_1,?
14710,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Atom_type_1,,X,,,,N,H,H,H,H,H,N,,,,,,Atom type 1,VARCHAR(15),NOT NULL,,RDC,AtomType1,N,N,,,,,,,,,Y,130,,,,,,0,?,n/a,Standard symbol used to define the atom element type.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC,Atom_type_1,?
14720,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Ambiguity_code_1,,X,,,,N,H,H,H,H,H,N,,,,,,Ambiguity code 1,VARCHAR(127),,,RDC,AmbiguityCode1,N,N,,,,,,,,,Y,140,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,RDC,Ambiguity_code_1,?
14730,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Entry_atom_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Entry atom ID 2,CHAR(12),,,RDC,EntryAtomID2,N,N,,,,Atom,Entry_atom_ID,,,,Y,150,,,,,,0,?,n/a,Pointer to '_Atom.Entry_atom_ID',?,?,Y,Y,N,N,N,N,_Atom.Entry_atom_ID,?,_Atom.Entry_atom_ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,RDC,Entry_atom_ID_2,?
14740,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Entity_assembly_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Entity assembly ID 2,CHAR(12),NOT NULL,,RDC,EntityAssemblyID2,N,N,,,,Entity_assembly,ID,,,,Y,160,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,_Entity_assembly.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC,Entity_assembly_ID_2,?
14750,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Entity_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Entity ID 2,CHAR(12),NOT NULL,,RDC,EntityID2,N,N,,,,Entity,ID,,,,Y,170,,,,,,0,?,n/a,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,_Entity.ID,?,_Entity.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC,Entity_ID_2,?
14760,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Comp_index_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Comp index ID 2,CHAR(12),NOT NULL,,RDC,CompIndexID2,N,N,,,,Entity_comp_index,ID,,,,Y,180,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC,Comp_index_ID_2,?
14770,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Seq_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Seq ID 2,INTEGER,NOT NULL,,RDC,SeqID2,N,N,,,,Entity_poly_seq,Num,,,,Y,190,,,,,,0,?,n/a,Pointer to '_Entity_poly_seq.Num',?,?,Y,Y,N,N,N,N,?,?,_Entity_poly_seq.Num,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC,Seq_ID_2,?
14780,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Comp_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Comp ID 2,CHAR(12),NOT NULL,,RDC,CompID2,N,N,,,,Chem_comp,ID,,,,Y,200,,,,,,0,?,n/a,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,?,_Chem_comp.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC,Comp_ID_2,?
14790,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Atom_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Atom ID 2,CHAR(12),NOT NULL,,RDC,AtomID2,N,N,,,,Chem_comp_atom,Atom_ID,,,,Y,210,,,,,,0,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Chem_comp_atom.Atom_ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC,Atom_ID_2,?
14800,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Atom_type_2,,X,,,,N,H,H,H,H,H,N,,,,,,Atom type 2,VARCHAR(15),NOT NULL,,RDC,AtomType2,N,N,,,,,,,,,Y,220,,,,,,0,?,n/a,Standard symbol used to define the atom element type.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,RDC,Atom_type_2,?
14810,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Ambiguity_code_2,,X,,,,N,H,H,H,H,H,N,,,,,,Ambiguity code 2,VARCHAR(127),,,RDC,AmbiguityCode2,N,N,,,,,,,,,Y,230,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,RDC,Ambiguity_code_2,?
14820,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Val,,X,,,,N,H,H,H,H,H,N,,,,,,Val,FLOAT,,,RDC,Val,N,N,,,,,,,,,Y,240,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,C,C,C,C,C,C,C,C,C,C,C,C,?,0,RDC,Val,?
14830,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Min_val,,X,,,,N,H,H,H,H,H,N,,,,,,Min val,FLOAT,,,RDC,MinVal,N,N,,,,,,,,,Y,250,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,C,C,C,C,C,C,C,C,C,C,C,C,?,0,RDC,Min_val,?
14840,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Max_val,,X,,,,N,H,H,H,H,H,N,,,,,,Max val,FLOAT,,,RDC,MaxVal,N,N,,,,,,,,,Y,260,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,C,C,C,C,C,C,C,C,C,C,C,C,?,0,RDC,Max_val,?
14850,RDCs,N,T6,5,NMR_parameters,270,RDC,_RDC.Val_err,,X,,,,N,H,H,H,H,H,N,,,,,,Val err,FLOAT,,,RDC,ValErr,N,N,,,,,,,,,Y,270,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,RDC,Val_err,?
14860,spectral_density_values,N,R,5,NMR_parameters,280,Spectral density values,_Spectral_density_list.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),NOT NULL,,SpectralDensityList,SfCategory,N,N,,,,,,,,,N,4380,,,,,,1,?,Sf category,Category definition for the information content of the saveframe,?,?,Y,Y,N,Y,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density_list,Sf_category,?
14870,spectral_density_values,N,R,5,NMR_parameters,280,Spectral density values,_Spectral_density_list.Sf_framecode,,X,,,,Y,Y,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,SpectralDensityList,SfFramecode,N,N,,,,,,,,,N,4390,,,,,,1,?,Spectral density value list label,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,1,Spectral_density_list,Sf_framecode,?
14880,spectral_density_values,N,R,5,NMR_parameters,280,Spectral density values,_Spectral_density_list.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SpectralDensityList,EntryID,N,N,,,,Entry,ID,,,,N,4400,,,,,,1,?,Entry ID,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density_list,Entry_ID,Y
14890,spectral_density_values,N,R,5,NMR_parameters,280,Spectral density values,_Spectral_density_list.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,SpectralDensityList,SfID,N,Y,Y,Y,,,,,,,N,4410,,,,,,1,?,n/a,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Spectral_density_list,Sf_ID,?
14900,spectral_density_values,N,R,5,NMR_parameters,280,Spectral density values,_Spectral_density_list.ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,SpectralDensityList,SpectralDensityListID,N,N,Y,,,,,,,,N,4420,,,,,,1,?,Sf ID,?,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density_list,ID,Y
14910,spectral_density_values,N,R,5,NMR_parameters,280,Spectral density values,_Spectral_density_list.Details,,O,,,,Y,Y,H,H,H,H,N,,,,,,Details,TEXT,,,SpectralDensityList,Details,N,N,,,,,,,,,N,4430,,,,,,0,?,Details,Text describing the reported spectral density values.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,2,Spectral_density_list,Details,?
14920,spectral_density_values,N,R,5,NMR_parameters,280,Spectral density values,_Spectral_density_list.Sample_condition_list_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Sample condition list ID,CHAR(12),NOT NULL,,SpectralDensityList,SampleConditionListID,N,N,,,,Sample_condition_list,ID,,,,N,4440,,,,,,1,?,Sample conditions ID,Pointer to '_Sample_condition_list.ID',?,?,Y,Y,N,N,N,N,_Sample_condition_list.ID,?,_Sample_condition_list.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density_list,Sample_condition_list_ID,?
14930,spectral_density_values,N,R,5,NMR_parameters,280,Spectral density values,_Spectral_density_list.Sample_condition_list_label,,X,,,,Y,Y,Y,Y,Y,Y,N,,,,,,Sample condition list label,VARCHAR(127),NOT NULL,,SpectralDensityList,SampleConditionListLabel,N,N,,,,,,,,,N,4450,,9,,,,0,?,Sample conditions label,The label for the set of experimental sample conditions used to collect the data for determination of the spectral density values.,?,?,Y,Y,N,N,Y,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,1,Spectral_density_list,Sample_condition_list_label,?
14940,spectral_density_values,N,R,5,NMR_parameters,280,Spectral density values,_Spectral_density_list.Text_data_format,,O,,,,Y,H,Y,Y,Y,Y,N,,,,,,Text data format,VARCHAR(31),,,SpectralDensityList,TextDataFormat,N,N,,,,,,,,,N,4460,,,,,,0,?,Text data format,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Spectral_density_list,Text_data_format,?
14950,spectral_density_values,N,R,5,NMR_parameters,280,Spectral density values,_Spectral_density_list.Text_data,,O,,,,Y,H,Y,Y,Y,Y,N,,,,,,Text data,TEXT,,,SpectralDensityList,TextData,N,N,,,,,,,,,N,4470,,,,,,0,?,Text data,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Spectral_density_list,Text_data,?
14960,spectral_density_values,N,T6,5,NMR_parameters,280,Software,_Spectral_density_software_apps.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,SpectralDensitySoftwareApps,SfID,N,Y,,Y,,Spectral_density_list,Sf_ID,,,,Y,10,,,,,,1,?,n/a,Pointer to '_Spectral_density_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Spectral_density_list.Sf_ID,?,_Spectral_density_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Spectral_density_software_apps,Sf_ID,?
14970,spectral_density_values,N,T6,5,NMR_parameters,280,Software,_Spectral_density_software_apps.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SpectralDensitySoftwareApps,EntryID,N,N,,,,Entry,ID,,,,Y,20,,,,,,1,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density_software_apps,Entry_ID,?
14980,spectral_density_values,N,T6,5,NMR_parameters,280,Software,_Spectral_density_software_apps.Spectral_density_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Spectral density list ID,CHAR(12),NOT NULL,,SpectralDensitySoftwareApps,SpectralDensityListID,N,N,,,,Spectral_density_list,ID,,,,Y,30,,,,,,1,?,n/a,Pointer to '_Spectral_density_list.ID',?,?,Y,Y,N,N,N,N,_Spectral_density_list.ID,?,_Spectral_density_list.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Spectral_density_software_apps,Spectral_density_list_ID,Y
14990,spectral_density_values,N,T6,5,NMR_parameters,280,Software,_Spectral_density_software_apps.Software_ID,,SC,,,,Y,H,H,H,H,H,N,,,,,,Software ID,CHAR(12),NOT NULL,,SpectralDensitySoftwareApps,SoftwareID,N,N,,Y,,Software,ID,,,,Y,40,,,,,,1,?,Software ID,Pointer to '_Software.ID',?,?,Y,Y,N,N,N,N,_Software.ID,?,_Software.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Spectral_density_software_apps,Software_ID,Y
15000,spectral_density_values,N,T6,5,NMR_parameters,280,Software,_Spectral_density_software_apps.Software_label,,X,,,,Y,N,H,H,H,H,N,,,,,,Software label,VARCHAR(127),,,SpectralDensitySoftwareApps,SoftwareLabel,N,N,,,,,,,,,Y,50,,,,,,0,?,Software label,Pointer to a saveframe of the category 'software',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Spectral_density_software_apps,Software_label,?
15010,spectral_density_values,N,T6,5,NMR_parameters,280,Software,_Spectral_density_software_apps.Method_ID,,SC,,,,Y,H,H,H,H,H,N,,,,,,Method ID,CHAR(12),NOT NULL,,SpectralDensitySoftwareApps,MethodID,N,N,,,,Method,ID,,,,Y,60,,,,,,1,?,Method ID,Pointer to '_Method.ID',?,?,Y,Y,N,N,N,N,_Method.ID,?,_Method.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Spectral_density_software_apps,Method_ID,?
15020,spectral_density_values,N,T6,5,NMR_parameters,280,Software,_Spectral_density_software_apps.Method_label,,X,,,,Y,N,H,H,H,H,N,,,,,,Method label,VARCHAR(127),,,SpectralDensitySoftwareApps,MethodLabel,N,N,,,,,,,,,Y,70,,,,,,0,?,Method label,Pointer to a saveframe of the category 'method',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Spectral_density_software_apps,Method_label,?
15030,spectral_density_values,N,T6,5,NMR_parameters,280,NMR experiments and samples,_Spectral_density_experiment.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,SpectralDensityExperiment,SfID,N,Y,,Y,,Spectral_density_list,Sf_ID,,,,Y,10,,,,,,1,?,n/a,Pointer to '_Spectral_density_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Spectral_density_list.Sf_ID,?,_Spectral_density_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Spectral_density_experiment,Sf_ID,?
15040,spectral_density_values,N,T6,5,NMR_parameters,280,NMR experiments and samples,_Spectral_density_experiment.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SpectralDensityExperiment,EntryID,N,N,,,,Entry,ID,,,,Y,20,,,,,,1,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density_experiment,Entry_ID,?
15050,spectral_density_values,N,T6,5,NMR_parameters,280,NMR experiments and samples,_Spectral_density_experiment.Spectral_density_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Spectral density list ID,CHAR(12),NOT NULL,,SpectralDensityExperiment,SpectralDensityListID,N,N,,,,Spectral_density_list,ID,,,,Y,30,,,,,,1,?,n/a,Pointer to '_Spectral_density_list.ID',?,?,Y,Y,N,N,N,N,_Spectral_density_list.ID,?,_Spectral_density_list.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density_experiment,Spectral_density_list_ID,Y
15060,spectral_density_values,N,T6,5,NMR_parameters,280,NMR experiments and samples,_Spectral_density_experiment.NMR_spec_expt_ID,,SC,,,,Y,H,H,H,H,H,N,,,,,,NMR spec expt ID,CHAR(12),,,SpectralDensityExperiment,NMRSpecExptID,N,N,,,,NMR_spec_expt,ID,,,,Y,40,,,,,,1,?,Experiment ID,Pointer to '_NMR_spec_expt.ID',?,?,Y,Y,N,N,N,N,_NMR_spec_expt.ID,?,_NMR_spec_expt.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Spectral_density_experiment,NMR_spec_expt_ID,?
15070,spectral_density_values,N,T6,5,NMR_parameters,280,NMR experiments and samples,_Spectral_density_experiment.NMR_spec_expt_label,,X,,,,Y,N,H,H,H,H,N,,,,,,NMR spec expt label,VARCHAR(127),,,SpectralDensityExperiment,NMRSpecExptLabel,N,N,,,,,,,,,Y,50,,10,,,,0,?,Experiment label,Pointer to a saveframe of the category 'NMR_spectrometer_expt',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Spectral_density_experiment,NMR_spec_expt_label,?
15080,spectral_density_values,N,T6,5,NMR_parameters,280,NMR experiments and samples,_Spectral_density_experiment.Sample_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Sample ID,CHAR(12),NOT NULL,,SpectralDensityExperiment,SampleID,N,N,,Y,,Sample,ID,,,,Y,60,,,,,,1,?,Sample ID,Pointer to '_Sample.ID',?,?,Y,Y,N,N,N,N,_Sample.ID,?,_Sample.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density_experiment,Sample_ID,Y
15090,spectral_density_values,N,T6,5,NMR_parameters,280,NMR experiments and samples,_Spectral_density_experiment.Sample_label,,X,,,,Y,Y,H,H,H,H,N,,,,,,Sample label,VARCHAR(127),NOT NULL,,SpectralDensityExperiment,SampleLabel,N,N,,,,,,,,,Y,70,,8,,,,0,?,Sample label,Pointer to a saveframe of the category 'sample',?,?,Y,Y,N,N,Y,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,1,Spectral_density_experiment,Sample_label,?
15100,spectral_density_values,N,T6,5,NMR_parameters,280,NMR experiments and samples,_Spectral_density_experiment.Sample_state,,MC,Y,,,Y,Y,H,H,H,H,N,,,,,,Sample state,VARCHAR(31),NOT NULL,,SpectralDensityExperiment,SampleState,N,N,,Y,,,,,,,Y,80,,,,,,0,?,Sample state,Physical state of the sample either anisotropic or isotropic.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,isotropic,1,Spectral_density_experiment,Sample_state,Y
15110,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Sf_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,SpectralDensity,SfID,N,Y,,Y,,Spectral_density_list,Sf_ID,,,,Y,10,,,,,,0,?,n/a,Pointer to '_Spectral_density_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Spectral_density_list.Sf_ID,?,_Spectral_density_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Spectral_density,Sf_ID,?
15120,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Entry_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SpectralDensity,EntryID,N,N,,,,Entry,ID,,,,Y,20,,,,,,0,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density,Entry_ID,?
15130,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Spectral_density_list_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Spectral density list ID,CHAR(12),NOT NULL,,SpectralDensity,SpectralDensityListID,N,N,,,,Spectral_density_list,ID,,,,Y,30,,,,,,0,?,n/a,Pointer to '_Spectral_density_list.ID',?,?,Y,Y,N,N,N,N,_Spectral_density_list.ID,?,_Spectral_density_list.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density,Spectral_density_list_ID,Y
15140,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Spectral_density_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Spectral density ID,CHAR(12),NOT NULL,,SpectralDensity,SpectralDensityID,Y,N,,Y,,,,,,,Y,40,,,,,,1,?,n/a,Spectral density ID,?,?,Y,Y,N,N,N,N,,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density,Spectral_density_ID,?
15150,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Entry_atom_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entry atom ID,CHAR(12),,,SpectralDensity,EntryAtomID,N,N,,,,Atom,Entry_atom_ID,,,,Y,50,,,,,,0,?,n/a,Pointer to '_Atom.Entry_atom_ID',?,?,Y,Y,N,N,N,N,_Atom.Entry_atom_ID,?,_Atom.Entry_atom_ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Spectral_density,Entry_atom_ID,?
15160,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Entity_assembly_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entity assembly ID,CHAR(12),NOT NULL,,SpectralDensity,EntityAssemblyID,N,N,,,,Entity_assembly,ID,,,,Y,60,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,_Entity_assembly.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density,Entity_assembly_ID,?
15170,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Entity_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entity ID,CHAR(12),NOT NULL,,SpectralDensity,EntityID,N,N,,,,Entity,ID,,,,Y,70,,,,,,0,?,n/a,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,_Entity.ID,?,_Entity.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density,Entity_ID,?
15180,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Comp_index_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Comp index ID,CHAR(12),NOT NULL,,SpectralDensity,CompIndexID,N,N,,,,Entity_comp_index,ID,,,,Y,80,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density,Comp_index_ID,?
15190,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Seq_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Seq ID,INTEGER,NOT NULL,,SpectralDensity,SeqID,N,N,,,,Entity_poly_seq,Num,,,,Y,90,,,,,,0,?,n/a,Pointer to '_Entity_poly_seq.Num',?,?,Y,Y,N,N,N,N,?,?,_Entity_poly_seq.Num,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density,Seq_ID,?
15200,spectral_density_values,N,T6,5,NMR_parameters,280,Spectral density,_Spectral_density.Comp_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Comp ID,CHAR(12),NOT NULL,,SpectralDensity,CompID,N,N,,,,Chem_comp,ID,,,,Y,100,,,,,,0,?,n/a,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,?,_Chem_comp.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Spectral_density,Comp_ID,?
